folder,file1,file2,es_plagio,dataset,tfidf_normalized,ast_structure,method_signatures,sequence_normalized,combined_score
3b5cec19_8f31b279,3b5cec19.java,8f31b279.java,1,conplag,0.9283115843734925,0.9801324503311258,1.0,0.8465909090909091,0.9459374259936963
3d06b643_6bcc5afd,3d06b643.java,6bcc5afd.java,1,conplag,0.0,0.7365728900255755,0.5,0.38318254390633316,0.3784492485936226
c05_orig_L4v09,original.java,compared.java,1,ir_plag,0.48562785733901886,0.8,0.5,0.6297376093294461,0.6044303914680734
c03_orig_L6v06,original.java,compared.java,1,ir_plag,0.6207299068139415,0.6305418719211823,0.3333333333333333,0.3921815889029004,0.5319119339633358
2fdcf0ad_d20e861b,2fdcf0ad.java,d20e861b.java,0,conplag,0.5154481083095606,0.5197215777262181,0.3333333333333333,0.05140021269053527,0.41070000979645854
8e990c75_96b3758b,8e990c75.java,96b3758b.java,0,conplag,0.36967643079524415,0.45982142857142855,0.5,0.10407876230661041,0.3829449936957555
c07_orig_L5v07,original.java,compared.java,1,ir_plag,0.7227242235847666,0.8235294117647058,0.5,0.42441860465116277,0.6636750924817545
1097b326_a60fba84,1097b326.java,a60fba84.java,0,conplag,0.5587483595967373,0.6294416243654822,0.6666666666666666,0.10679108346293416,0.5337464090212762
392218ef_f0ede32a,392218ef.java,f0ede32a.java,0,conplag,0.7082541642913024,0.7616580310880829,0.5,0.34492753623188405,0.6281254972631634
c04_orig_L5v01,original.java,compared.java,1,ir_plag,0.532825178511466,0.5675675675675675,0.5,0.5529801324503312,0.539706102616833
c04_orig_L3v01,original.java,compared.java,1,ir_plag,0.9960065188076067,0.8484848484848485,1.0,0.9643527204502814,0.947800644195659
c04_orig_L6v08,original.java,compared.java,1,ir_plag,0.6626394141648092,0.6024096385542169,0.5,0.5889387144992526,0.6009874936988362
31f29772_ac180326,31f29772.java,ac180326.java,0,conplag,0.5590106710939213,0.4838709677419355,0.25,0.1566098572086596,0.4143065037867521
c03_orig_L3v06,original.java,compared.java,1,ir_plag,0.9930993102946813,0.7379679144385026,1.0,0.8111587982832618,0.8906489526771785
c03_orig_L3v05,original.java,compared.java,1,ir_plag,0.9668581087830341,0.770949720670391,1.0,0.7243636363636363,0.8783397997297248
9862c742_cf27732e,9862c742.java,cf27732e.java,0,conplag,0.778360036115166,0.7185929648241206,1.0,0.49744114636642783,0.7626200740425085
c03_orig_np07,original.java,compared.java,0,ir_plag,0.9823835873349185,0.9333333333333333,1.0,0.9150805270863837,0.9610963346301789
47d54299_63bfa731,47d54299.java,63bfa731.java,1,conplag,0.9482826765963629,0.8177570093457944,1.0,0.49605609114811566,0.8516344532846827
930dd1f1_f4b87cc2,930dd1f1.java,f4b87cc2.java,0,conplag,0.5781667986837619,0.46697388632872505,0.14285714285714285,0.15771028037383178,0.3946785160654375
99bc7da3_b3638571,99bc7da3.java,b3638571.java,0,conplag,0.43819166503673823,0.5815217391304348,0.5,0.10233482364629906,0.4431738280489336
04ed33a5_6b83b22e,04ed33a5.java,6b83b22e.java,1,conplag,1.0000000000000002,1.0,1.0,1.0,1.0
03b3c5af_d74028ea,03b3c5af.java,d74028ea.java,0,conplag,0.44341166851195446,0.47246376811594204,0.16666666666666666,0.06094316807738815,0.33940802295890826
7de69858_b76bce8a,7de69858.java,b76bce8a.java,0,conplag,0.0,0.6844919786096256,1.0,0.2792857142857143,0.4472404507257448
e2fe9d7d_ece1820d,e2fe9d7d.java,ece1820d.java,0,conplag,0.6917059781619682,0.5849802371541502,0.5,0.2786282914880588,0.5593854072261427
67996c4c_7bc92b7f,67996c4c.java,7bc92b7f.java,0,conplag,0.668235761426029,0.6327433628318584,1.0,0.40688575899843504,0.6847383891984329
1dab88fb_bac616ee,1dab88fb.java,bac616ee.java,0,conplag,0.5602816163844581,0.6418439716312057,0.25,0.10509852987175478,0.4544165367046852
c07_orig_L4v06,original.java,compared.java,1,ir_plag,0.6215255775447637,0.863905325443787,0.5,0.45852749301025164,0.6454846737253411
4138b081_f59d9b6e,4138b081.java,f59d9b6e.java,0,conplag,0.5754552593807549,0.5671641791044776,0.3333333333333333,0.125,0.45697526118127413
c03_orig_L2v02,original.java,compared.java,1,ir_plag,0.9875597657866763,1.0,1.0,0.8774002954209749,0.9772559623384829
6e7cd58b_cfba313d,6e7cd58b.java,cfba313d.java,1,conplag,0.6128218778775633,0.7320754716981132,0.25,0.10746037881716274,0.5002293555891555
c05_orig_L2v01,original.java,compared.java,1,ir_plag,1.0000000000000002,1.0,1.0,1.0,1.0
7f42483d_c9a316ca,7f42483d.java,c9a316ca.java,0,conplag,0.5235306272717709,0.4721311475409836,0.25,0.15496503496503497,0.3981198190521701
0c9d4def_d3415fc5,0c9d4def.java,d3415fc5.java,0,conplag,0.43744287816534877,0.45,0.3333333333333333,0.11331719128329298,0.37176925271703265
c05_orig_L3v04,original.java,compared.java,1,ir_plag,0.7051649634728508,0.54,1.0,0.22849462365591397,0.643081930763885
34cd5b66_d6af96bd,34cd5b66.java,d6af96bd.java,0,conplag,0.0,0.4735036218070911,0.25,0.03690845971131007,0.19758735549882384
49e94e7e_d7a8434f,49e94e7e.java,d7a8434f.java,0,conplag,0.6069551420931838,0.741514360313316,1.0,0.11926605504587157,0.6527785160834899
0c9d4def_ef1d196b,0c9d4def.java,ef1d196b.java,0,conplag,0.27636863451530136,0.45714285714285713,0.5,0.05098554533508541,0.3415197110234754
29cb9b0e_c77654b8,29cb9b0e.java,c77654b8.java,0,conplag,0.402625430971284,0.5496535796766744,0.5,0.20055096418732782,0.43589761937105087
c01_orig_L6v03,original.java,compared.java,1,ir_plag,0.5617907096264908,0.5714285714285714,0.5,0.5650224215246636,0.5528086830265427
0048a372_0adb1ee5,0048a372.java,0adb1ee5.java,0,conplag,0.540045456727129,0.5439672801635992,0.3333333333333333,0.16552250190694126,0.4437011358562828
ac7187d8_b7a6c59c,ac7187d8.java,b7a6c59c.java,0,conplag,0.5380282815382219,0.7258064516129032,0.5,0.35428571428571426,0.5591946911651058
6f393cfe_7a9c69d8,6f393cfe.java,7a9c69d8.java,1,conplag,0.0,1.0,1.0,1.0,0.65
24afd00e_424c930b,24afd00e.java,424c930b.java,0,conplag,0.0,0.6320610687022901,0.5,0.20396600566572237,0.32021322146054537
1097b326_f1f600d9,1097b326.java,f1f600d9.java,0,conplag,0.0,0.6343825665859564,0.5,0.22310361923648983,0.3237803128612604
c02_orig_L1v05,original.java,compared.java,1,ir_plag,1.0000000000000002,1.0,1.0,0.9976470588235294,0.9996470588235296
2e404969_597195ee,2e404969.java,597195ee.java,0,conplag,0.0,0.6,0.5,0.11708996986655187,0.2975634954799828
26e699de_76ad805a,26e699de.java,76ad805a.java,0,conplag,0.7266073243133744,0.6306306306306306,1.0,0.1733490566037736,0.6695041111894363
c07_orig_np12,original.java,compared.java,0,ir_plag,0.920071561973283,0.7701149425287356,1.0,0.696969696969697,0.8576049839947242
22dff786_624529e3,22dff786.java,624529e3.java,0,conplag,0.90882664860845,0.8586666666666667,1.0,0.5742574257425742,0.8618279408743436
c01_orig_np08,original.java,compared.java,0,ir_plag,0.7059468736585234,0.5128205128205128,1.0,0.572139303482587,0.686748455149025
0df4050e_f5fde094,0df4050e.java,f5fde094.java,0,conplag,0.0,0.4959677419354839,0.3333333333333333,0.17328793038214152,0.24145017880463304
c05_orig_L6v04,original.java,compared.java,1,ir_plag,0.733634657990679,0.5833333333333334,1.0,0.25869262865090403,0.6705760245943733
3c74c140_732c98a0,3c74c140.java,732c98a0.java,1,conplag,0.0,0.8392370572207084,0.8,0.5955973287162998,0.5011107164736576
c03_orig_L2v06,original.java,compared.java,1,ir_plag,0.9875597657866763,0.9767441860465116,1.0,0.8206245461147422,0.9617628557565016
80e6c4db_f22a4243,80e6c4db.java,f22a4243.java,0,conplag,0.0,0.5260869565217391,0.5,0.23143507972665148,0.2925413489155195
c57997b6_ff10b574,c57997b6.java,ff10b574.java,0,conplag,0.5496111005721269,0.5192307692307693,0.3333333333333333,0.13617021276595745,0.4352253145510354
c01_orig_L1v03,original.java,compared.java,1,ir_plag,1.0000000000000004,1.0,1.0,1.0,1.0
9c55bc1b_c9da41af,9c55bc1b.java,c9da41af.java,0,conplag,0.0,0.5517241379310345,0.5,0.11751283513976041,0.2831441666502744
c07_orig_L6v04,original.java,compared.java,1,ir_plag,0.7867690246368545,0.6033519553072626,0.3333333333333333,0.20240963855421687,0.553402857664877
53551ea0_6be98ece,53551ea0.java,6be98ece.java,0,conplag,0.8231891864764371,0.7927565392354124,1.0,0.4597810566396954,0.7949103355333311
0ea5a836_3c74c140,0ea5a836.java,3c74c140.java,0,conplag,0.405319146069995,0.5333333333333333,0.2,0.09136420525657071,0.3555663319129838
cdb801a1_dcdaf666,cdb801a1.java,dcdaf666.java,0,conplag,0.8165139072750959,0.7015945330296127,1.0,0.25691699604743085,0.734795776862282
4ea10951_66e74577,4ea10951.java,66e74577.java,0,conplag,0.5198772721973539,0.6359447004608295,0.3333333333333333,0.11479890667707926,0.45662695807555126
00af3420_86102d81,00af3420.java,86102d81.java,0,conplag,0.8092797132746724,0.7678571428571429,1.0,0.14026602176541716,0.7346449457680908
4499e3b9_cbbbed5f,4499e3b9.java,cbbbed5f.java,0,conplag,0.0,0.5866666666666667,0.3333333333333333,0.14826254826254825,0.2649060489060489
6f393cfe_d3a0b8d2,6f393cfe.java,d3a0b8d2.java,0,conplag,0.0,0.7142857142857143,1.0,0.14568826995179432,0.4361389547784834
4fb09c5f_c57a973e,4fb09c5f.java,c57a973e.java,0,conplag,0.5513709882885777,0.6333973128598849,1.0,0.09014084507042254,0.5965201665195311
0b04b41e_4da08761,0b04b41e.java,4da08761.java,0,conplag,0.5696792408309573,0.6398390342052314,0.6666666666666666,0.07877629063097515,0.536489221480384
3cbcb1cc_6045e5d1,3cbcb1cc.java,6045e5d1.java,1,conplag,0.0,1.0,1.0,1.0,0.65
36f1b52a_558df7d4,36f1b52a.java,558df7d4.java,1,conplag,0.617742990561171,0.8469750889679716,0.5,0.13358778625954199,0.5903407413257326
a8f7c8b7_f229aa7f,a8f7c8b7.java,f229aa7f.java,0,conplag,0.8077679794816336,0.7278688524590164,1.0,0.5297619047619048,0.7805437342705626
3c667d4f_a7894e0b,3c667d4f.java,a7894e0b.java,1,conplag,0.0,0.8379888268156425,1.0,0.16442048517520216,0.4760597208209731
c06_orig_np07,original.java,compared.java,0,ir_plag,0.8786355372642934,0.9043478260869565,1.0,0.7714285714285715,0.8945410715828752
4f7af821_8f6421f3,4f7af821.java,8f6421f3.java,1,conplag,0.6725903114192145,0.7894736842105263,1.0,0.17798913043478262,0.6989470838251004
41e69083_54eb1a6b,41e69083.java,54eb1a6b.java,1,conplag,1.0,1.0,1.0,1.0,0.9999999999999999
a368f345_e5d02e93,a368f345.java,e5d02e93.java,0,conplag,0.0,0.476027397260274,0.5,0.1572083186464575,0.26638946697505084
ee270b2a_fc80cbe0,ee270b2a.java,fc80cbe0.java,0,conplag,0.3939606779979808,0.609981515711645,0.5,0.21834385443743037,0.45363227017840135
c04_orig_np10,original.java,compared.java,0,ir_plag,0.5770901112799004,0.8135593220338984,1.0,0.7365967365967366,0.7565388460476452
04ed33a5_0c173033,04ed33a5.java,0c173033.java,1,conplag,0.07881769991536772,0.722117202268431,0.5,0.2721609966459032,0.38504550514779345
05f939b3_e647bef7,05f939b3.java,e647bef7.java,0,conplag,0.0,0.41118421052631576,0.16666666666666666,0.09997238331952499,0.1716844539891568
0ecf356d_b2bae06a,0ecf356d.java,b2bae06a.java,0,conplag,0.8333558236028819,0.6589861751152074,1.0,0.3566992014196983,0.7428752710085256
f229aa7f_fcc7e8fa,f229aa7f.java,fcc7e8fa.java,0,conplag,0.46995158136793136,0.6030769230769231,0.5,0.21785881252921926,0.4780849522812357
8aadde13_fb20d298,8aadde13.java,fb20d298.java,1,conplag,0.411177476553096,0.6835443037974683,0.3333333333333333,0.16812790097988653,0.4408612597464737
e431de28_eb6cfca7,e431de28.java,eb6cfca7.java,0,conplag,0.7652281331085578,0.7445652173913043,1.0,0.1703940362087327,0.7167585172366965
12c1cc56_7b71234c,12c1cc56.java,7b71234c.java,1,conplag,1.0,1.0,1.0,1.0,0.9999999999999999
c02_orig_L4v04,original.java,compared.java,1,ir_plag,0.5395948384609625,0.6346153846153846,0.3333333333333333,0.3757455268389662,0.5022713045384638
c04_orig_L6v04,original.java,compared.java,1,ir_plag,0.49852822068746,0.5588235294117647,0.5,0.5656565656565656,0.5269804209126252
01b911ac_a195911e,01b911ac.java,a195911e.java,0,conplag,0.46195063100091266,0.6181015452538632,0.16666666666666666,0.21469356680624285,0.41265055278074814
175201f9_9399204d,175201f9.java,9399204d.java,0,conplag,0.561811797349381,0.6610526315789473,1.0,0.22169059011164274,0.6282035070627139
c06_orig_L3v04,original.java,compared.java,1,ir_plag,0.7890789361257693,0.8869565217391304,1.0,0.8043143297380585,0.862911733626467
43b85d63_a37923d1,43b85d63.java,a37923d1.java,0,conplag,0.0,0.5824742268041238,0.3333333333333333,0.1610410736071574,0.2655650957489774
ba8800f5_d8e4eb5e,ba8800f5.java,d8e4eb5e.java,0,conplag,0.3892864043379801,0.5416666666666666,0.5,0.32040736388562474,0.4468113461011367
c03_orig_L3v08,original.java,compared.java,1,ir_plag,0.9786865277820439,0.7379679144385026,1.0,0.8045649072753209,0.8846153951465643
4f7af821_f870e76b,4f7af821.java,f870e76b.java,0,conplag,0.6785413538383313,0.7339901477832512,1.0,0.2131303520456708,0.689656070985242
597195ee_5f3a196a,597195ee.java,5f3a196a.java,1,conplag,0.7604017478820279,0.8690228690228691,1.0,0.35653923541247484,0.7803283577774417
1d43139f_fdd41565,1d43139f.java,fdd41565.java,0,conplag,0.5073936676140266,0.5975308641975309,0.5,0.08085728202630298,0.46897563522811403
d6fb3b9e_f7a0ea6d,d6fb3b9e.java,f7a0ea6d.java,0,conplag,0.40550317890668064,0.684931506849315,0.3333333333333333,0.15612535612535614,0.43749103475760276
d1cd194e_dbffab11,d1cd194e.java,dbffab11.java,0,conplag,0.6563181045299414,0.5909090909090909,0.5,0.33289873967840067,0.5569188748099668
c02_orig_L4v06,original.java,compared.java,1,ir_plag,0.5090201727241489,0.5299145299145299,0.3333333333333333,0.43503368623676614,0.4690531390299927
1ea771ea_2f8c3bf3,1ea771ea.java,2f8c3bf3.java,0,conplag,0.5912536187775503,0.5895691609977324,0.5,0.182370820668693,0.5111651379717662
7814575b_8cfe3ee0,7814575b.java,8cfe3ee0.java,0,conplag,0.0,0.4911504424778761,0.6666666666666666,0.13738140417457306,0.30128567670288214
1071f735_cd835290,1071f735.java,cd835290.java,1,conplag,0.3587114533244872,0.7061855670103093,0.5,0.062168844931119745,0.4467300055063312
38b356b7_c77654b8,38b356b7.java,c77654b8.java,0,conplag,0.0,0.6835443037974683,0.5,0.13898601398601398,0.32591119323714257
67996c4c_9028caf7,67996c4c.java,9028caf7.java,0,conplag,0.5818060085777176,0.687089715536105,1.0,0.3897538925163235,0.6682221015404811
00af3420_f4d6d28d,00af3420.java,f4d6d28d.java,0,conplag,0.7033660962210556,0.5590361445783133,0.5,0.2251264755480607,0.5476579483830726
a3e272af_f7fc2e94,a3e272af.java,f7fc2e94.java,0,conplag,0.6368755925222671,0.5842105263157895,0.5,0.3051438535309503,0.5439411933071729
7686c854_abd16ff0,7686c854.java,abd16ff0.java,1,conplag,0.0,0.8416289592760181,1.0,0.3629842180774749,0.5069363204944266
2a35cd81_464ad4dd,2a35cd81.java,464ad4dd.java,0,conplag,0.7632204732831586,0.567062818336163,0.5,0.12246431254695718,0.555615658031998
3ff60986_d0b4b96c,3ff60986.java,d0b4b96c.java,1,conplag,1.0,1.0,1.0,1.0,0.9999999999999999
c07_orig_L4v05,original.java,compared.java,1,ir_plag,0.45093253151194185,0.631578947368421,1.0,0.18945634266886327,0.5757185216400355
d23b398c_e14d1ba0,d23b398c.java,e14d1ba0.java,1,conplag,0.8189295264882267,0.9523809523809523,1.0,0.23739837398373984,0.8079493760827261
6db218a2_90b71536,6db218a2.java,90b71536.java,1,conplag,1.0000000000000002,1.0,1.0,1.0,1.0
487c9f62_54488276,487c9f62.java,54488276.java,0,conplag,0.59987302721881,0.5327510917030568,0.25,0.1096859796550199,0.43623378398575346
5bf01190_79b9b897,5bf01190.java,79b9b897.java,0,conplag,0.6696610179641278,0.6445497630331753,1.0,0.17981438515081208,0.6547184429700192
54e71b9b_fd16f5b0,54e71b9b.java,fd16f5b0.java,0,conplag,0.0,0.42448979591836733,0.2857142857142857,0.09652683806946324,0.19896882162878682
d8a171a3_f229aa7f,d8a171a3.java,f229aa7f.java,0,conplag,0.6823956911161102,0.6923076923076923,1.0,0.4315352697095436,0.7112610900393778
722e318f_ff1fc018,722e318f.java,ff1fc018.java,0,conplag,0.0,0.5565217391304348,0.3333333333333333,0.10188844971453667,0.24890645586297758
c06_orig_np09,original.java,compared.java,0,ir_plag,0.9702197422265285,0.9369369369369369,1.0,0.9171974522292994,0.9582376086947608
c05_orig_L6v01,original.java,compared.java,1,ir_plag,0.5406857834217593,0.75,0.5,0.7153075822603719,0.6215361615366715
c07_orig_L2v03,original.java,compared.java,1,ir_plag,0.9217585906350511,0.9882352941176471,1.0,0.9707495429616088,0.9646985264018033
810cf242_968c1e7e,810cf242.java,968c1e7e.java,0,conplag,0.0,0.37994722955145116,1.0,0.168282765092274,0.33922658362927643
161b4a40_49e94e7e,161b4a40.java,49e94e7e.java,0,conplag,0.55398001004762,0.6414253897550112,0.3333333333333333,0.25693893735130846,0.49152812771253324
141effef_6653a758,141effef.java,6653a758.java,0,conplag,0.3576974197707131,0.5180722891566265,0.5,0.2599502487562189,0.41960832098017037
c01_orig_L5v04,original.java,compared.java,1,ir_plag,0.7144388792551399,0.9302325581395349,0.5,0.2465277777777778,0.6661025418478261
b185d034_ccc8ef27,b185d034.java,ccc8ef27.java,0,conplag,0.4312612236996008,0.6785714285714286,0.5,0.27507163323782235,0.4957736018519622
c02_orig_L5v06,original.java,compared.java,1,ir_plag,0.5090201727241489,0.5299145299145299,0.3333333333333333,0.43503368623676614,0.4690531390299927
3412b353_528a6162,3412b353.java,528a6162.java,1,conplag,0.0,1.0,1.0,1.0,0.65
c02_orig_L4v08,original.java,compared.java,1,ir_plag,0.4497438447514735,0.6666666666666666,0.3333333333333333,0.43478260869565216,0.48929440363403015
c02_orig_np05,original.java,compared.java,0,ir_plag,0.6558194617074378,0.6956521739130435,1.0,0.45989304812834225,0.7072164209907675
3afcc566_d8a171a3,3afcc566.java,d8a171a3.java,0,conplag,0.4033893112377067,0.5753424657534246,0.3333333333333333,0.14394661582459486,0.4020476576995806
c04_orig_L4v04,original.java,compared.java,1,ir_plag,0.514262515278953,0.5970149253731343,0.5,0.6037735849056604,0.5496623956954229
2eb89317_d4a3869e,2eb89317.java,d4a3869e.java,0,conplag,0.0,0.5497237569060773,0.5,0.1512959614225437,0.28761152128520473
127af3a7_99ccaa44,127af3a7.java,99ccaa44.java,0,conplag,0.5304606182767374,0.5800316957210776,0.5,0.10782029950083195,0.4758437700383062
bd3051e3_e2e37533,bd3051e3.java,e2e37533.java,1,conplag,1.0000000000000002,1.0,1.0,1.0,1.0
1dab88fb_99ccaa44,1dab88fb.java,99ccaa44.java,0,conplag,0.4655376150955105,0.5481239804241436,0.5,0.2115085536547434,0.45910164245888324
c06_orig_L4v01,original.java,compared.java,1,ir_plag,0.8724272724703476,0.6050420168067226,0.5,0.4899713467048711,0.660357852412369
403e3270_58d18fca,403e3270.java,58d18fca.java,1,conplag,0.8230117949309099,0.8817204301075269,0.3333333333333333,0.4919786096256685,0.6930337153685935
2eb89317_fcc7e8fa,2eb89317.java,fcc7e8fa.java,0,conplag,0.0,0.42996742671009774,0.3333333333333333,0.1400848999393572,0.21666962967059955
49b94994_f0d91796,49b94994.java,f0d91796.java,0,conplag,0.14363307904812356,0.7312925170068028,0.5,0.13466334164588528,0.3898588340157669
c06_orig_np04,original.java,compared.java,0,ir_plag,0.8973164717125146,0.9203539823008849,1.0,0.8790199081163859,0.9220199460071034
c01_orig_np12,original.java,compared.java,0,ir_plag,0.7059468736585234,0.5128205128205128,1.0,0.572139303482587,0.686748455149025
1a6f8b20_f6ed6826,1a6f8b20.java,f6ed6826.java,0,conplag,0.6395546145153918,0.6481481481481481,0.6666666666666666,0.09527896995708154,0.5659137383517271
c05_orig_L4v07,original.java,compared.java,1,ir_plag,0.5960796371017097,0.865979381443299,0.5,0.6205882352941177,0.6615099227127058
680ba922_6d7d5dd7,680ba922.java,6d7d5dd7.java,0,conplag,0.8520449001804042,0.6494845360824743,1.0,0.5139500734214391,0.7701535869010996
