pair_id,folder_name,case_id,case_orig,file1,file2,label,plagiarism_level,source_dataset,comparison_type
pair_001120,c48673a6_ebed1250,p18,problem-18,c48673a6.java,ebed1250.java,0,none,conplag,contest_submission_pair
pair_000330,c06_orig_np02,c06,case-06,original.java,compared.java,0,none,ir_plag,original_vs_nonplagiarized
pair_000375,c06_orig_L4v08,c06,case-06,original.java,compared.java,1,level_4,ir_plag,original_vs_l4
pair_001129,a3e272af_d1cd194e,p09,problem-9,a3e272af.java,d1cd194e.java,0,none,conplag,contest_submission_pair
pair_000826,1469697d_69c86b61,p21,problem-21,1469697d.java,69c86b61.java,1,contest_level,conplag,contest_submission_pair
pair_000405,c07_orig_np11,c07,case-07,original.java,compared.java,0,none,ir_plag,original_vs_nonplagiarized
pair_001346,56a90e79_b505f95e,p08,problem-8,56a90e79.java,b505f95e.java,0,none,conplag,contest_submission_pair
pair_000185,c03_orig_L6v03,c03,case-03,original.java,compared.java,1,level_6,ir_plag,original_vs_l6
pair_000681,6f037b1d_ef1117e3,p01,problem-1,6f037b1d.java,ef1117e3.java,0,none,conplag,contest_submission_pair
pair_000345,c06_orig_L1v02,c06,case-06,original.java,compared.java,1,level_1,ir_plag,original_vs_l1
pair_000934,16857116_f3d7ce08,p04,problem-4,16857116.java,f3d7ce08.java,1,contest_level,conplag,contest_submission_pair
pair_000650,0951d079_b2bae06a,p06,problem-6,0951d079.java,b2bae06a.java,0,none,conplag,contest_submission_pair
pair_000453,c07_orig_L6v02,c07,case-07,original.java,compared.java,1,level_6,ir_plag,original_vs_l6
pair_000009,c01_orig_np09,c01,case-01,original.java,compared.java,0,none,ir_plag,original_vs_nonplagiarized
pair_000183,c03_orig_L6v01,c03,case-03,original.java,compared.java,1,level_6,ir_plag,original_vs_l6
pair_001123,12c1cc56_c06c758d,p19,problem-19,12c1cc56.java,c06c758d.java,1,contest_level,conplag,contest_submission_pair
pair_001115,ae716b8f_f1a42a42,p06,problem-6,ae716b8f.java,f1a42a42.java,0,none,conplag,contest_submission_pair
pair_000134,c03_orig_np10,c03,case-03,original.java,compared.java,0,none,ir_plag,original_vs_nonplagiarized
pair_000466,1be078c4_bb0949b3,p08,problem-8,1be078c4.java,bb0949b3.java,0,none,conplag,contest_submission_pair
pair_000978,4e9c4bf9_f9e08a46,p19,problem-19,4e9c4bf9.java,f9e08a46.java,0,none,conplag,contest_submission_pair
pair_000417,c07_orig_L1v08,c07,case-07,original.java,compared.java,1,level_1,ir_plag,original_vs_l1
pair_000796,cc9230d3_ec558d69,p01,problem-1,cc9230d3.java,ec558d69.java,1,contest_level,conplag,contest_submission_pair
pair_000116,c02_orig_L6v01,c02,case-02,original.java,compared.java,1,level_6,ir_plag,original_vs_l6
pair_000108,c02_orig_L5v02,c02,case-02,original.java,compared.java,1,level_5,ir_plag,original_vs_l5
pair_001267,99ccaa44_e7a997b5,p03,problem-3,99ccaa44.java,e7a997b5.java,0,none,conplag,contest_submission_pair
pair_001122,29d865c3_5cfa2861,p04,problem-4,29d865c3.java,5cfa2861.java,0,none,conplag,contest_submission_pair
pair_000828,3b5cec19_8f31b279,p09,problem-9,3b5cec19.java,8f31b279.java,1,contest_level,conplag,contest_submission_pair
pair_000817,3d06b643_6bcc5afd,p19,problem-19,3d06b643.java,6bcc5afd.java,1,contest_level,conplag,contest_submission_pair
pair_000310,c05_orig_L4v09,c05,case-05,original.java,compared.java,1,level_4,ir_plag,original_vs_l4
pair_000188,c03_orig_L6v06,c03,case-03,original.java,compared.java,1,level_6,ir_plag,original_vs_l6
pair_000877,2fdcf0ad_d20e861b,p10,problem-10,2fdcf0ad.java,d20e861b.java,0,none,conplag,contest_submission_pair
pair_000852,8e990c75_96b3758b,p19,problem-19,8e990c75.java,96b3758b.java,0,none,conplag,contest_submission_pair
pair_000449,c07_orig_L5v07,c07,case-07,original.java,compared.java,1,level_5,ir_plag,original_vs_l5
pair_000960,1097b326_a60fba84,p18,problem-18,1097b326.java,a60fba84.java,0,none,conplag,contest_submission_pair
pair_000481,392218ef_f0ede32a,p20,problem-20,392218ef.java,f0ede32a.java,0,none,conplag,contest_submission_pair
pair_000243,c04_orig_L5v01,c04,case-04,original.java,compared.java,1,level_5,ir_plag,original_vs_l5
pair_000225,c04_orig_L3v01,c04,case-04,original.java,compared.java,1,level_3,ir_plag,original_vs_l3
pair_000259,c04_orig_L6v08,c04,case-04,original.java,compared.java,1,level_6,ir_plag,original_vs_l6
pair_000715,31f29772_ac180326,p09,problem-9,31f29772.java,ac180326.java,0,none,conplag,contest_submission_pair
pair_000162,c03_orig_L3v06,c03,case-03,original.java,compared.java,1,level_3,ir_plag,original_vs_l3
pair_000161,c03_orig_L3v05,c03,case-03,original.java,compared.java,1,level_3,ir_plag,original_vs_l3
pair_000535,9862c742_cf27732e,p20,problem-20,9862c742.java,cf27732e.java,0,none,conplag,contest_submission_pair
pair_000131,c03_orig_np07,c03,case-03,original.java,compared.java,0,none,ir_plag,original_vs_nonplagiarized
pair_001232,47d54299_63bfa731,p02,problem-2,47d54299.java,63bfa731.java,1,contest_level,conplag,contest_submission_pair
pair_000697,930dd1f1_f4b87cc2,p19,problem-19,930dd1f1.java,f4b87cc2.java,0,none,conplag,contest_submission_pair
pair_000771,99bc7da3_b3638571,p07,problem-7,99bc7da3.java,b3638571.java,0,none,conplag,contest_submission_pair
pair_001116,04ed33a5_6b83b22e,p17,problem-17,04ed33a5.java,6b83b22e.java,1,contest_level,conplag,contest_submission_pair
pair_001332,03b3c5af_d74028ea,p01,problem-1,03b3c5af.java,d74028ea.java,0,none,conplag,contest_submission_pair
pair_000609,7de69858_b76bce8a,p21,problem-21,7de69858.java,b76bce8a.java,0,none,conplag,contest_submission_pair
pair_000619,e2fe9d7d_ece1820d,p13,problem-13,e2fe9d7d.java,ece1820d.java,0,none,conplag,contest_submission_pair
pair_001333,67996c4c_7bc92b7f,p19,problem-19,67996c4c.java,7bc92b7f.java,0,none,conplag,contest_submission_pair
pair_000552,1dab88fb_bac616ee,p03,problem-3,1dab88fb.java,bac616ee.java,0,none,conplag,contest_submission_pair
pair_000439,c07_orig_L4v06,c07,case-07,original.java,compared.java,1,level_4,ir_plag,original_vs_l4
pair_001203,4138b081_f59d9b6e,p03,problem-3,4138b081.java,f59d9b6e.java,0,none,conplag,contest_submission_pair
pair_000149,c03_orig_L2v02,c03,case-03,original.java,compared.java,1,level_2,ir_plag,original_vs_l2
pair_000727,6e7cd58b_cfba313d,p15,problem-15,6e7cd58b.java,cfba313d.java,1,contest_level,conplag,contest_submission_pair
pair_000285,c05_orig_L2v01,c05,case-05,original.java,compared.java,1,level_2,ir_plag,original_vs_l2
pair_001253,7f42483d_c9a316ca,p01,problem-1,7f42483d.java,c9a316ca.java,0,none,conplag,contest_submission_pair
pair_000756,0c9d4def_d3415fc5,p15,problem-15,0c9d4def.java,d3415fc5.java,0,none,conplag,contest_submission_pair
pair_000296,c05_orig_L3v04,c05,case-05,original.java,compared.java,1,level_3,ir_plag,original_vs_l3
pair_000711,34cd5b66_d6af96bd,p10,problem-10,34cd5b66.java,d6af96bd.java,0,none,conplag,contest_submission_pair
pair_000484,49e94e7e_d7a8434f,p04,problem-4,49e94e7e.java,d7a8434f.java,0,none,conplag,contest_submission_pair
pair_000471,0c9d4def_ef1d196b,p15,problem-15,0c9d4def.java,ef1d196b.java,0,none,conplag,contest_submission_pair
pair_000492,29cb9b0e_c77654b8,p17,problem-17,29cb9b0e.java,c77654b8.java,0,none,conplag,contest_submission_pair
pair_000049,c01_orig_L6v03,c01,case-01,original.java,compared.java,1,level_6,ir_plag,original_vs_l6
pair_000872,0048a372_0adb1ee5,p08,problem-8,0048a372.java,0adb1ee5.java,0,none,conplag,contest_submission_pair
pair_000809,ac7187d8_b7a6c59c,p18,problem-18,ac7187d8.java,b7a6c59c.java,0,none,conplag,contest_submission_pair
pair_000643,6f393cfe_7a9c69d8,p15,problem-15,6f393cfe.java,7a9c69d8.java,1,contest_level,conplag,contest_submission_pair
pair_001322,24afd00e_424c930b,p01,problem-1,24afd00e.java,424c930b.java,0,none,conplag,contest_submission_pair
pair_000606,1097b326_f1f600d9,p18,problem-18,1097b326.java,f1f600d9.java,0,none,conplag,contest_submission_pair
pair_000075,c02_orig_L1v05,c02,case-02,original.java,compared.java,1,level_1,ir_plag,original_vs_l1
pair_001217,2e404969_597195ee,p21,problem-21,2e404969.java,597195ee.java,0,none,conplag,contest_submission_pair
pair_001037,26e699de_76ad805a,p04,problem-4,26e699de.java,76ad805a.java,0,none,conplag,contest_submission_pair
pair_000406,c07_orig_np12,c07,case-07,original.java,compared.java,0,none,ir_plag,original_vs_nonplagiarized
pair_000542,22dff786_624529e3,p21,problem-21,22dff786.java,624529e3.java,0,none,conplag,contest_submission_pair
pair_000008,c01_orig_np08,c01,case-01,original.java,compared.java,0,none,ir_plag,original_vs_nonplagiarized
pair_001280,0df4050e_f5fde094,p20,problem-20,0df4050e.java,f5fde094.java,0,none,conplag,contest_submission_pair
pair_000323,c05_orig_L6v04,c05,case-05,original.java,compared.java,1,level_6,ir_plag,original_vs_l6
pair_001344,3c74c140_732c98a0,p15,problem-15,3c74c140.java,732c98a0.java,1,contest_level,conplag,contest_submission_pair
pair_000153,c03_orig_L2v06,c03,case-03,original.java,compared.java,1,level_2,ir_plag,original_vs_l2
pair_000913,80e6c4db_f22a4243,p13,problem-13,80e6c4db.java,f22a4243.java,0,none,conplag,contest_submission_pair
pair_000838,c57997b6_ff10b574,p20,problem-20,c57997b6.java,ff10b574.java,0,none,conplag,contest_submission_pair
pair_000018,c01_orig_L1v03,c01,case-01,original.java,compared.java,1,level_1,ir_plag,original_vs_l1
pair_000628,9c55bc1b_c9da41af,p03,problem-3,9c55bc1b.java,c9da41af.java,0,none,conplag,contest_submission_pair
pair_000455,c07_orig_L6v04,c07,case-07,original.java,compared.java,1,level_6,ir_plag,original_vs_l6
pair_001329,53551ea0_6be98ece,p16,problem-16,53551ea0.java,6be98ece.java,0,none,conplag,contest_submission_pair
pair_001089,0ea5a836_3c74c140,p15,problem-15,0ea5a836.java,3c74c140.java,0,none,conplag,contest_submission_pair
pair_000791,cdb801a1_dcdaf666,p18,problem-18,cdb801a1.java,dcdaf666.java,0,none,conplag,contest_submission_pair
pair_000945,4ea10951_66e74577,p04,problem-4,4ea10951.java,66e74577.java,0,none,conplag,contest_submission_pair
pair_001337,00af3420_86102d81,p15,problem-15,00af3420.java,86102d81.java,0,none,conplag,contest_submission_pair
pair_000551,4499e3b9_cbbbed5f,p01,problem-1,4499e3b9.java,cbbbed5f.java,0,none,conplag,contest_submission_pair
pair_000892,6f393cfe_d3a0b8d2,p15,problem-15,6f393cfe.java,d3a0b8d2.java,0,none,conplag,contest_submission_pair
pair_000541,4fb09c5f_c57a973e,p08,problem-8,4fb09c5f.java,c57a973e.java,0,none,conplag,contest_submission_pair
pair_001040,0b04b41e_4da08761,p15,problem-15,0b04b41e.java,4da08761.java,0,none,conplag,contest_submission_pair
pair_000474,3cbcb1cc_6045e5d1,p08,problem-8,3cbcb1cc.java,6045e5d1.java,1,contest_level,conplag,contest_submission_pair
pair_000799,36f1b52a_558df7d4,p17,problem-17,36f1b52a.java,558df7d4.java,1,contest_level,conplag,contest_submission_pair
pair_000735,a8f7c8b7_f229aa7f,p04,problem-4,a8f7c8b7.java,f229aa7f.java,0,none,conplag,contest_submission_pair
pair_000633,3c667d4f_a7894e0b,p08,problem-8,3c667d4f.java,a7894e0b.java,1,contest_level,conplag,contest_submission_pair
pair_000335,c06_orig_np07,c06,case-06,original.java,compared.java,0,none,ir_plag,original_vs_nonplagiarized
pair_000988,4f7af821_8f6421f3,p08,problem-8,4f7af821.java,8f6421f3.java,1,contest_level,conplag,contest_submission_pair
pair_000958,41e69083_54eb1a6b,p13,problem-13,41e69083.java,54eb1a6b.java,1,contest_level,conplag,contest_submission_pair
pair_001190,a368f345_e5d02e93,p15,problem-15,a368f345.java,e5d02e93.java,0,none,conplag,contest_submission_pair
pair_001220,ee270b2a_fc80cbe0,p08,problem-8,ee270b2a.java,fc80cbe0.java,0,none,conplag,contest_submission_pair
pair_000201,c04_orig_np10,c04,case-04,original.java,compared.java,0,none,ir_plag,original_vs_nonplagiarized
pair_001021,04ed33a5_0c173033,p17,problem-17,04ed33a5.java,0c173033.java,1,contest_level,conplag,contest_submission_pair
pair_000497,05f939b3_e647bef7,p02,problem-2,05f939b3.java,e647bef7.java,0,none,conplag,contest_submission_pair
pair_000769,0ecf356d_b2bae06a,p06,problem-6,0ecf356d.java,b2bae06a.java,0,none,conplag,contest_submission_pair
pair_001218,f229aa7f_fcc7e8fa,p04,problem-4,f229aa7f.java,fcc7e8fa.java,0,none,conplag,contest_submission_pair
pair_001212,8aadde13_fb20d298,p11,problem-11,8aadde13.java,fb20d298.java,1,contest_level,conplag,contest_submission_pair
pair_000591,e431de28_eb6cfca7,p18,problem-18,e431de28.java,eb6cfca7.java,0,none,conplag,contest_submission_pair
pair_000890,12c1cc56_7b71234c,p19,problem-19,12c1cc56.java,7b71234c.java,1,contest_level,conplag,contest_submission_pair
pair_000101,c02_orig_L4v04,c02,case-02,original.java,compared.java,1,level_4,ir_plag,original_vs_l4
pair_000255,c04_orig_L6v04,c04,case-04,original.java,compared.java,1,level_6,ir_plag,original_vs_l6
pair_000467,01b911ac_a195911e,p21,problem-21,01b911ac.java,a195911e.java,0,none,conplag,contest_submission_pair
pair_000502,175201f9_9399204d,p15,problem-15,175201f9.java,9399204d.java,0,none,conplag,contest_submission_pair
pair_000363,c06_orig_L3v04,c06,case-06,original.java,compared.java,1,level_3,ir_plag,original_vs_l3
pair_000849,43b85d63_a37923d1,p11,problem-11,43b85d63.java,a37923d1.java,0,none,conplag,contest_submission_pair
pair_001351,ba8800f5_d8e4eb5e,p19,problem-19,ba8800f5.java,d8e4eb5e.java,0,none,conplag,contest_submission_pair
pair_000164,c03_orig_L3v08,c03,case-03,original.java,compared.java,1,level_3,ir_plag,original_vs_l3
pair_000925,4f7af821_f870e76b,p08,problem-8,4f7af821.java,f870e76b.java,0,none,conplag,contest_submission_pair
pair_001290,597195ee_5f3a196a,p21,problem-21,597195ee.java,5f3a196a.java,1,contest_level,conplag,contest_submission_pair
pair_000590,1d43139f_fdd41565,p15,problem-15,1d43139f.java,fdd41565.java,0,none,conplag,contest_submission_pair
pair_000790,d6fb3b9e_f7a0ea6d,p15,problem-15,d6fb3b9e.java,f7a0ea6d.java,0,none,conplag,contest_submission_pair
pair_000862,d1cd194e_dbffab11,p09,problem-9,d1cd194e.java,dbffab11.java,0,none,conplag,contest_submission_pair
pair_000103,c02_orig_L4v06,c02,case-02,original.java,compared.java,1,level_4,ir_plag,original_vs_l4
pair_001077,1ea771ea_2f8c3bf3,p08,problem-8,1ea771ea.java,2f8c3bf3.java,0,none,conplag,contest_submission_pair
pair_001170,7814575b_8cfe3ee0,p15,problem-15,7814575b.java,8cfe3ee0.java,0,none,conplag,contest_submission_pair
pair_000663,1071f735_cd835290,p09,problem-9,1071f735.java,cd835290.java,1,contest_level,conplag,contest_submission_pair
pair_000549,38b356b7_c77654b8,p17,problem-17,38b356b7.java,c77654b8.java,0,none,conplag,contest_submission_pair
pair_001026,67996c4c_9028caf7,p19,problem-19,67996c4c.java,9028caf7.java,0,none,conplag,contest_submission_pair
pair_000472,00af3420_f4d6d28d,p15,problem-15,00af3420.java,f4d6d28d.java,0,none,conplag,contest_submission_pair
pair_000566,a3e272af_f7fc2e94,p09,problem-9,a3e272af.java,f7fc2e94.java,0,none,conplag,contest_submission_pair
pair_000781,7686c854_abd16ff0,p18,problem-18,7686c854.java,abd16ff0.java,1,contest_level,conplag,contest_submission_pair
pair_000487,2a35cd81_464ad4dd,p15,problem-15,2a35cd81.java,464ad4dd.java,0,none,conplag,contest_submission_pair
pair_000630,3ff60986_d0b4b96c,p01,problem-1,3ff60986.java,d0b4b96c.java,1,contest_level,conplag,contest_submission_pair
pair_000438,c07_orig_L4v05,c07,case-07,original.java,compared.java,1,level_4,ir_plag,original_vs_l4
pair_001050,d23b398c_e14d1ba0,p18,problem-18,d23b398c.java,e14d1ba0.java,1,contest_level,conplag,contest_submission_pair
pair_000839,6db218a2_90b71536,p01,problem-1,6db218a2.java,90b71536.java,1,contest_level,conplag,contest_submission_pair
pair_001062,487c9f62_54488276,p15,problem-15,487c9f62.java,54488276.java,0,none,conplag,contest_submission_pair
pair_001019,5bf01190_79b9b897,p18,problem-18,5bf01190.java,79b9b897.java,0,none,conplag,contest_submission_pair
pair_001360,54e71b9b_fd16f5b0,p01,problem-1,54e71b9b.java,fd16f5b0.java,0,none,conplag,contest_submission_pair
pair_000559,d8a171a3_f229aa7f,p04,problem-4,d8a171a3.java,f229aa7f.java,0,none,conplag,contest_submission_pair
pair_000766,722e318f_ff1fc018,p20,problem-20,722e318f.java,ff1fc018.java,0,none,conplag,contest_submission_pair
pair_000337,c06_orig_np09,c06,case-06,original.java,compared.java,0,none,ir_plag,original_vs_nonplagiarized
pair_000320,c05_orig_L6v01,c05,case-05,original.java,compared.java,1,level_6,ir_plag,original_vs_l6
pair_000420,c07_orig_L2v03,c07,case-07,original.java,compared.java,1,level_2,ir_plag,original_vs_l2
pair_001097,810cf242_968c1e7e,p08,problem-8,810cf242.java,968c1e7e.java,0,none,conplag,contest_submission_pair
pair_000708,161b4a40_49e94e7e,p04,problem-4,161b4a40.java,49e94e7e.java,0,none,conplag,contest_submission_pair
pair_001046,141effef_6653a758,p19,problem-19,141effef.java,6653a758.java,0,none,conplag,contest_submission_pair
pair_000045,c01_orig_L5v04,c01,case-01,original.java,compared.java,1,level_5,ir_plag,original_vs_l5
pair_000473,b185d034_ccc8ef27,p15,problem-15,b185d034.java,ccc8ef27.java,0,none,conplag,contest_submission_pair
pair_000112,c02_orig_L5v06,c02,case-02,original.java,compared.java,1,level_5,ir_plag,original_vs_l5
pair_000918,3412b353_528a6162,p21,problem-21,3412b353.java,528a6162.java,1,contest_level,conplag,contest_submission_pair
pair_000105,c02_orig_L4v08,c02,case-02,original.java,compared.java,1,level_4,ir_plag,original_vs_l4
pair_000060,c02_orig_np05,c02,case-02,original.java,compared.java,0,none,ir_plag,original_vs_nonplagiarized
pair_001309,3afcc566_d8a171a3,p04,problem-4,3afcc566.java,d8a171a3.java,0,none,conplag,contest_submission_pair
pair_000237,c04_orig_L4v04,c04,case-04,original.java,compared.java,1,level_4,ir_plag,original_vs_l4
pair_000822,2eb89317_d4a3869e,p04,problem-4,2eb89317.java,d4a3869e.java,0,none,conplag,contest_submission_pair
pair_001324,127af3a7_99ccaa44,p03,problem-3,127af3a7.java,99ccaa44.java,0,none,conplag,contest_submission_pair
pair_000505,bd3051e3_e2e37533,p10,problem-10,bd3051e3.java,e2e37533.java,1,contest_level,conplag,contest_submission_pair
pair_000652,1dab88fb_99ccaa44,p03,problem-3,1dab88fb.java,99ccaa44.java,0,none,conplag,contest_submission_pair
pair_000368,c06_orig_L4v01,c06,case-06,original.java,compared.java,1,level_4,ir_plag,original_vs_l4
pair_001091,403e3270_58d18fca,p16,problem-16,403e3270.java,58d18fca.java,1,contest_level,conplag,contest_submission_pair
pair_001268,2eb89317_fcc7e8fa,p04,problem-4,2eb89317.java,fcc7e8fa.java,0,none,conplag,contest_submission_pair
pair_001156,49b94994_f0d91796,p17,problem-17,49b94994.java,f0d91796.java,0,none,conplag,contest_submission_pair
pair_000332,c06_orig_np04,c06,case-06,original.java,compared.java,0,none,ir_plag,original_vs_nonplagiarized
pair_000012,c01_orig_np12,c01,case-01,original.java,compared.java,0,none,ir_plag,original_vs_nonplagiarized
pair_000585,1a6f8b20_f6ed6826,p15,problem-15,1a6f8b20.java,f6ed6826.java,0,none,conplag,contest_submission_pair
pair_000308,c05_orig_L4v07,c05,case-05,original.java,compared.java,1,level_4,ir_plag,original_vs_l4
pair_000922,680ba922_6d7d5dd7,p04,problem-4,680ba922.java,6d7d5dd7.java,0,none,conplag,contest_submission_pair
pair_000028,c01_orig_L2v04,c01,case-01,original.java,compared.java,1,level_2,ir_plag,original_vs_l2
pair_000494,6018974f_bdf7bfb2,p15,problem-15,6018974f.java,bdf7bfb2.java,0,none,conplag,contest_submission_pair
pair_001302,2063ba3e_2ba7edb6,p16,problem-16,2063ba3e.java,2ba7edb6.java,0,none,conplag,contest_submission_pair
pair_000038,c01_orig_L4v03,c01,case-01,original.java,compared.java,1,level_4,ir_plag,original_vs_l4
pair_000087,c02_orig_L2v08,c02,case-02,original.java,compared.java,1,level_2,ir_plag,original_vs_l2
pair_001034,54eb12ca_949502c2,p02,problem-2,54eb12ca.java,949502c2.java,0,none,conplag,contest_submission_pair
pair_000427,c07_orig_L3v02,c07,case-07,original.java,compared.java,1,level_3,ir_plag,original_vs_l3
pair_000385,c06_orig_L5v09,c06,case-06,original.java,compared.java,1,level_5,ir_plag,original_vs_l5
pair_000510,93ee4612_da5cf40b,p04,problem-4,93ee4612.java,da5cf40b.java,0,none,conplag,contest_submission_pair
pair_000182,c03_orig_L5v09,c03,case-03,original.java,compared.java,1,level_5,ir_plag,original_vs_l5
pair_000767,b2bae06a_d4779c71,p06,problem-6,b2bae06a.java,d4779c71.java,0,none,conplag,contest_submission_pair
pair_000854,3d88acb8_b6023b26,p11,problem-11,3d88acb8.java,b6023b26.java,0,none,conplag,contest_submission_pair
pair_000871,a7e7f371_f8e7b886,p21,problem-21,a7e7f371.java,f8e7b886.java,0,none,conplag,contest_submission_pair
pair_000506,4a1573d6_db8d728d,p10,problem-10,4a1573d6.java,db8d728d.java,0,none,conplag,contest_submission_pair
pair_000265,c05_orig_np05,c05,case-05,original.java,compared.java,0,none,ir_plag,original_vs_nonplagiarized
pair_000041,c01_orig_L4v06,c01,case-01,original.java,compared.java,1,level_4,ir_plag,original_vs_l4
pair_000617,034030f3_9e4ddc38,p19,problem-19,034030f3.java,9e4ddc38.java,0,none,conplag,contest_submission_pair
pair_001038,d6bbd286_fabb36ff,p03,problem-3,d6bbd286.java,fabb36ff.java,0,none,conplag,contest_submission_pair
pair_000054,c01_orig_L6v08,c01,case-01,original.java,compared.java,1,level_6,ir_plag,original_vs_l6
pair_000383,c06_orig_L5v07,c06,case-06,original.java,compared.java,1,level_5,ir_plag,original_vs_l5
pair_000399,c07_orig_np05,c07,case-07,original.java,compared.java,0,none,ir_plag,original_vs_nonplagiarized
pair_000014,c01_orig_np14,c01,case-01,original.java,compared.java,0,none,ir_plag,original_vs_nonplagiarized
pair_001014,00f79486_ce0b2178,p20,problem-20,00f79486.java,ce0b2178.java,0,none,conplag,contest_submission_pair
pair_001248,8a729537_abd16ff0,p18,problem-18,8a729537.java,abd16ff0.java,1,contest_level,conplag,contest_submission_pair
pair_001295,976fe834_da54dec3,p10,problem-10,976fe834.java,da54dec3.java,0,none,conplag,contest_submission_pair
pair_001354,63bfa731_949502c2,p02,problem-2,63bfa731.java,949502c2.java,1,contest_level,conplag,contest_submission_pair
pair_000219,c04_orig_L2v04,c04,case-04,original.java,compared.java,1,level_2,ir_plag,original_vs_l2
pair_001055,49e94e7e_fcc7e8fa,p04,problem-4,49e94e7e.java,fcc7e8fa.java,0,none,conplag,contest_submission_pair
pair_000022,c01_orig_L1v07,c01,case-01,original.java,compared.java,1,level_1,ir_plag,original_vs_l1
pair_001183,3ff25f43_c287ea9d,p21,problem-21,3ff25f43.java,c287ea9d.java,0,none,conplag,contest_submission_pair
pair_000710,0889dcfb_22138fad,p21,problem-21,0889dcfb.java,22138fad.java,0,none,conplag,contest_submission_pair
pair_001191,9261620f_f0881ab5,p07,problem-7,9261620f.java,f0881ab5.java,1,contest_level,conplag,contest_submission_pair
pair_001277,2eb89317_5f0a176e,p04,problem-4,2eb89317.java,5f0a176e.java,0,none,conplag,contest_submission_pair
pair_001278,18e2441c_792863db,p09,problem-9,18e2441c.java,792863db.java,0,none,conplag,contest_submission_pair
pair_001130,08cf0478_9291ca83,p15,problem-15,08cf0478.java,9291ca83.java,1,contest_level,conplag,contest_submission_pair
pair_000273,c05_orig_np13,c05,case-05,original.java,compared.java,0,none,ir_plag,original_vs_nonplagiarized
pair_000229,c04_orig_L3v05,c04,case-04,original.java,compared.java,1,level_3,ir_plag,original_vs_l3
pair_000059,c02_orig_np04,c02,case-02,original.java,compared.java,0,none,ir_plag,original_vs_nonplagiarized
pair_000864,5f3a2a70_e7a997b5,p03,problem-3,5f3a2a70.java,e7a997b5.java,0,none,conplag,contest_submission_pair
pair_000387,c06_orig_L6v02,c06,case-06,original.java,compared.java,1,level_6,ir_plag,original_vs_l6
pair_001323,a4ec80a0_d314aa92,p19,problem-19,a4ec80a0.java,d314aa92.java,0,none,conplag,contest_submission_pair
pair_000671,d12f26f0_df594a00,p08,problem-8,d12f26f0.java,df594a00.java,0,none,conplag,contest_submission_pair
